UID          PID    PPID  C STIME TTY          TIME CMD
lp          1565    1463  0 23:06 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root        1583       1  0 23:06 ?        00:00:03 /usr/bin/containerd
root        1656       2  0 23:06 ?        00:00:00 [kworker/R-amdgpu-reset-dev]
root        1666       2  0 23:06 ?        00:00:00 [kworker/R-ttm]
root        1701       2  0 23:06 ?        00:00:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root        1702       2  0 23:06 ?        00:00:00 [kworker/R-dm_vblank_control_workqueue]
root        1732       2  0 23:06 ?        00:00:00 [card1-crtc0]
root        1733       2  0 23:06 ?        00:00:00 [card1-crtc1]
root        1734       2  0 23:06 ?        00:00:00 [card1-crtc2]
root        1735       2  0 23:06 ?        00:00:00 [card1-crtc3]
root        1736       2  0 23:06 ?        00:00:00 [kworker/R-gfx]
root        1737       2  0 23:06 ?        00:00:00 [kworker/R-comp_1.0.0]
root        1738       2  0 23:06 ?        00:00:00 [kworker/R-comp_1.1.0]
root        1739       2  0 23:06 ?        00:00:00 [kworker/R-comp_1.2.0]
root        1740       2  0 23:06 ?        00:00:00 [kworker/R-comp_1.3.0]
root        1741       2  0 23:06 ?        00:00:00 [kworker/R-comp_1.0.1]
root        1742       2  0 23:06 ?        00:00:00 [kworker/R-comp_1.1.1]
root        1743       2  0 23:06 ?        00:00:00 [kworker/R-comp_1.2.1]
root        1744       2  0 23:06 ?        00:00:00 [kworker/R-comp_1.3.1]
root        1745       2  0 23:06 ?        00:00:00 [kworker/R-sdma0]
root        1746       2  0 23:06 ?        00:00:00 [kworker/R-vcn_dec]
root        1747       2  0 23:06 ?        00:00:00 [kworker/R-vcn_enc0]
root        1748       2  0 23:06 ?        00:00:00 [kworker/R-vcn_enc1]
root        1749       2  0 23:06 ?        00:00:00 [kworker/R-jpeg_dec]
root        2018    1471  0 23:06 ?        00:00:00 cupsd -f -s /var/snap/cups/common/etc/cups/cups-files.conf -c /var/snap/cups/common/etc/cups/cupsd.conf
root        2019    1471  0 23:06 ?        00:00:00 cups-proxyd /var/snap/cups/common/run/cups.sock /run/cups/cups.sock -l --logdir /var/snap/cups/1238/var/log
root        2022    1470  0 23:06 ?        00:00:00 /bin/sh /snap/cups/1238/scripts/run-cups-browsed
root        2023    2022  0 23:06 ?        00:00:00 sleep 3600
cups-br+    2075       1  0 23:06 ?        00:00:00 /usr/sbin/cups-browsed
root        2076       1  0 23:06 ?        00:00:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
mongodb     2078       1  0 23:06 ?        00:00:15 /usr/bin/mongod --config /etc/mongod.conf
kernoops    2081       1  0 23:06 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    2084       1  0 23:06 ?        00:00:00 /usr/sbin/kerneloops
root        2391       1  0 23:06 ?        00:00:00 /usr/sbin/lightdm
root        2410    2391  3 23:06 tty7     00:01:07 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        2416       1  0 23:06 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
rtkit       2491       1  0 23:06 ?        00:00:00 /usr/libexec/rtkit-daemon
root        2656       2  0 23:06 ?        00:00:00 [krfcommd]
root        2682       2  0 23:06 ?        00:00:00 [kworker/1:3]
root        2686       1  0 23:06 ?        00:00:00 /usr/libexec/upowerd
root        2704    2391  0 23:06 ?        00:00:00 lightdm --session-child 13 20
aastik      2796       1  0 23:07 ?        00:00:01 /usr/lib/systemd/systemd --user
aastik      2797    2796  0 23:07 ?        00:00:00 (sd-pam)
aastik      2806    2796  0 23:07 ?        00:00:00 /usr/bin/pipewire
aastik      2807    2796  0 23:07 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
aastik      2810    2796  0 23:07 ?        00:00:00 /usr/bin/wireplumber
aastik      2811    2796  0 23:07 ?        00:00:00 /usr/bin/pipewire-pulse
aastik      2812    2796  0 23:07 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
aastik      2820    2796  0 23:07 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
aastik      2843    2704  0 23:07 ?        00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
aastik      2881    2796  0 23:07 ?        00:00:00 /usr/libexec/xdg-document-portal
aastik      2887    2796  0 23:07 ?        00:00:00 /usr/libexec/xdg-permission-store
root        2901    2881  0 23:07 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
aastik      2971    2796  0 23:07 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
aastik      2978    2971  0 23:07 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
aastik      3007    2796  0 23:07 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
aastik      3009    2796  0 23:07 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
aastik      3023    2796  0 23:07 ?        00:00:00 /usr/libexec/gvfsd
aastik      3032    2796  0 23:07 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
aastik      3035    2796  0 23:07 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
aastik      3070    2796  5 23:07 ?        00:01:51 /usr/bin/gnome-shell
aastik      3126    3070  0 23:07 ?        00:00:00 /usr/libexec/mutter-x11-frames
aastik      3129    2796  0 23:07 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
aastik      3164    2796  0 23:07 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
aastik      3171    2796  0 23:07 ?        00:00:00 /usr/libexec/evolution-source-registry
aastik      3179    2796  0 23:07 ?        00:00:00 /usr/libexec/dconf-service
aastik      3190    2796  0 23:07 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
aastik      3217    2796  0 23:07 ?        00:00:00 /usr/libexec/goa-daemon
aastik      3230    2796  0 23:07 ?        00:00:01 /usr/bin/ibus-daemon --panel disable --xim
aastik      3231    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-a11y-settings
aastik      3233    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-color
aastik      3237    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-datetime
aastik      3240    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-housekeeping
aastik      3241    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-keyboard
aastik      3243    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-media-keys
aastik      3244    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-power
aastik      3254    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-print-notifications
aastik      3259    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-rfkill
aastik      3265    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
aastik      3268    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-sharing
aastik      3270    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-smartcard
aastik      3273    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-sound
aastik      3274    2796  0 23:07 ?        00:00:00 /usr/libexec/goa-identity-service
aastik      3275    3035  0 23:07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
aastik      3277    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-wacom
aastik      3291    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-xsettings
aastik      3293    3035  0 23:07 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
aastik      3307    3035  0 23:07 ?        00:00:00 /usr/bin/touchegg
aastik      3317    2796  0 23:07 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
aastik      3318    3035  0 23:07 ?        00:00:03 /usr/bin/python3 /usr/bin/variety --profile /home/aastik/.config/variety/
aastik      3354    3035  0 23:07 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
aastik      3379    2796  0 23:07 ?        00:00:00 /usr/libexec/evolution-calendar-factory
aastik      3406    3230  0 23:07 ?        00:00:00 /usr/libexec/ibus-dconf
aastik      3408    3230  0 23:07 ?        00:00:03 /usr/libexec/ibus-extension-gtk3
aastik      3420    2796  0 23:07 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
aastik      3425    2796  0 23:07 ?        00:00:00 /usr/libexec/ibus-portal
aastik      3450    2796  0 23:07 ?        00:00:02 /bin/warp-taskbar
aastik      3455    2796  0 23:07 ?        00:00:00 /usr/libexec/gsd-printer
aastik      3495    2796  0 23:07 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
aastik      3518    2796  0 23:07 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
aastik      3520    2796  0 23:07 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
aastik      3531    2796  0 23:07 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
aastik      3542    2796  0 23:07 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
aastik      3576    2796  0 23:07 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
aastik      3578    2796  0 23:07 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
aastik      3598    3230  0 23:07 ?        00:00:00 /usr/libexec/ibus-engine-simple
aastik      3661    3070  0 23:07 ?        00:00:02 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
aastik      3682    3023  0 23:07 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.24 /org/gtk/gvfs/exec_spaw/0
aastik      3698    2796  0 23:07 ?        00:00:00 /usr/libexec/gvfsd-metadata
aastik      3737    2796  0 23:07 ?        00:00:00 /usr/libexec/xdg-desktop-portal
aastik      3743    2796  0 23:07 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
aastik      3766    2796  0 23:07 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
aastik      3784    3070  0 23:07 ?        00:00:00 /bin/bash /usr/bin/brave-browser-stable
aastik      3790    3784  0 23:07 ?        00:00:00 cat
aastik      3791    3784  0 23:07 ?        00:00:00 cat
aastik      3792    3784  7 23:07 ?        00:02:16 /opt/brave.com/brave/brave
aastik      3795    2796  0 23:07 ?        00:00:00 /opt/brave.com/brave/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/aastik/.config/BraveSoftware/Brave-Browser/Crash Reports --metrics-dir=/home/aastik/.config/BraveSoftware/Brave-Browser --url=https://cr.brave.com --annotation=lsb-release=Ubuntu 24.04.1 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=141.1.83.112 --initial-client-fd=5 --shared-client-connection
aastik      3797    2796  0 23:07 ?        00:00:00 /opt/brave.com/brave/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/aastik/.config/BraveSoftware/Brave-Browser/Crash Reports --url=https://cr.brave.com --annotation=lsb-release=Ubuntu 24.04.1 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=141.1.83.112 --initial-client-fd=4 --shared-client-connection
aastik      3803    3792  0 23:07 ?        00:00:00 /opt/brave.com/brave/brave --type=zygote --no-zygote-sandbox --crashpad-handler-pid=3795 --enable-crash-reporter=cdc3e6be-d9c3-41fd-8774-e2e447db0d23, --change-stack-guard-on-fork=enable
aastik      3804    3792  0 23:07 ?        00:00:00 /opt/brave.com/brave/brave --type=zygote --crashpad-handler-pid=3795 --enable-crash-reporter=cdc3e6be-d9c3-41fd-8774-e2e447db0d23, --change-stack-guard-on-fork=enable
aastik      3805    2796  0 23:07 ?        00:00:00 /snap/snapd-desktop-integration/391/usr/bin/user-session-helper /snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
aastik      3817    3804  0 23:07 ?        00:00:00 /opt/brave.com/brave/brave --type=zygote --crashpad-handler-pid=3795 --enable-crash-reporter=cdc3e6be-d9c3-41fd-8774-e2e447db0d23, --change-stack-guard-on-fork=enable
aastik      3902    3803  8 23:07 ?        00:02:52 /opt/brave.com/brave/brave --type=gpu-process --ozone-platform=x11 --crashpad-handler-pid=3795 --enable-crash-reporter=cdc3e6be-d9c3-41fd-8774-e2e447db0d23, --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAQAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --metrics-shmem-handle=4,i,15771058685933583885,11391289902840507424,262144 --field-trial-handle=3,i,13685708463087730070,18273792072575631349,262144 --variations-seed-version=main@c5eff80db0bd71a4fbed0555a903ff4d62ca075e
aastik      3905    3805  0 23:07 ?        00:00:01 /snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
